id,baseDomain,originAttributes,name,value,host,path,expiry,lastAccessed,creationTime,isSecure,isHttpOnly,inBrowserElement,sameSite,rawSameSite
14,addthis.com,"",di2,"aUvZn#&0x#&*g#%Os#%Or#%Km#%Kf#%IX#%IQ#%HV#%F|#%FS#%FR#%FQ#%E~#%/p#%/o#%/n#%$~#$Mr#$M`#$Ll#$L^#$LZ#$Gr#$CT#$7r#$1~#$0|#$+U#$)|#$){#$(w#$(T#$(S#$(R#$(Q#$$c#$$b#$!}##NW##Mz##Md##LU##Iz##Ix##Gr##Ed##Eb##EZ##Bq##Bp##@q##>W##>U##'V###l#!0}#!/p#!$s#!!xPNePNdPNcPNbPDtPC]PC[P<nP8UP7sP7rP7qP7mP7lP7kP2SO1iO1hO1gO(rO(qO(pO(cO(bO'vO'uN+gN+QN'yN#xMLcM?gM?fM>VM>UM>TM>SM>RM>QM7oM7nM7mM7lM7]M7XM-{M-rM-qM+}M+zM*fM'fM'bM&oM&nM&mM&^M&]M&[LLaLFTLEsLErLEqLEpLDkL.wJEXJ&ZJ&YJ&XJ&WJ&VJ&UJ#|J#{J#sJ#rIIYIIXIHcIHbIH[IFcIFbICiI?VI?UI6rI5fI5TI5SI3|I3{I3yI3rI2bI1oI/}I/|I/jI+lG0aFKt$+S83}83o8-c7H]7>Z7:m77h77g7.k7.b7-~7-}7*o7*k7)|7)m7)d7)c7'h7'g7#t6L]6L[6Kh6Kg6Hu6Hq6Hp6Ho6Hn6Hm6FW6FV6C{6@t6@s5)z5)y5)`5)_5)^5(n5(b5'~4JX4?Z4=a4=^0%w0%v0%q)1i)1b#9$u#8)i#8'^#7Pp#6Ah#6'l#53U#4H[#4D^#49_#44v#30y#2Bg#2A|#09S#08^#08W#/-s#/$^#.Ib#..X#*/}#*/{#*/k#*/R#*.~#*&]#*&Z#)N}#)N{#)Gc#)Ga#)-i#)-g#)-e#)*V#)*T#))~#))|#(8k#(5i#(5Q#(4~#(/]#'FX#'E{#'8f#'&U#'&T#&He#&GQ#&@r#&@q#&@p#&<]",.addthis.com,/,1609893335,1576197335490000,1576197335490001,1,0,0,0,0
15,addthis.com,"",bt2,5df2dcd6001Js0002,.addthis.com,/,1598315735,1576197335490000,1576197335490002,1,0,0,0,0
16,addthis.com,"",um,"j.'2019121324353457300571314517'",.addthis.com,/,1609893335,1576197335490000,1576197335490003,1,0,0,0,0
17,addthis.com,"",uid,5df2dcd673025bb4,.addthis.com,/,1609893335,1576197335490000,1576197335490004,1,0,0,0,0
18,addthis.com,"",na_id,2019121324353457300571314517,.addthis.com,/,1609893335,1576197335490000,1576197335490005,1,0,0,0,0
19,addthis.com,"",vc,2,.addthis.com,/,1609893335,1576197335490000,1576197335490006,1,0,0,0,0
20,crazyegg.com,"",__cfduid,db1ad0b4cee361c55fbc1c19aef58941c1576197334,.crazyegg.com,/,1578789334,1576197335568000,1576197335568000,0,1,0,0,0
21,cambridge.org,"",_ga,GA1.2.816295604.1576197336,.cambridge.org,/,1639269335,1576197335732000,1576197335732000,0,0,0,0,0
22,cambridge.org,"",_gid,GA1.2.677956023.1576197336,.cambridge.org,/,1576283735,1576197335733000,1576197335733000,0,0,0,0,0
23,cambridge.org,"",_gat_UA-39106122-2,1,.cambridge.org,/,1576197395,1576197335737000,1576197335737000,0,0,0,0,0
24,cambridge.org,"",_dc_gtm_UA-39106122-9,1,.cambridge.org,/,1576197395,1576197335808000,1576197335808000,0,0,0,0,0
25,twitter.com,"",tfw_exp,0,.twitter.com,/,1576283735,1576197335957000,1576197335957000,0,0,0,0,0
26,addthis.com,"",loc,MDYxMDVOQVVTQ1QyMjE4MTA3MzUzMzAwMDBDSA==,.addthis.com,/,1610498136,1576197336046000,1576197336046000,1,0,0,0,0
27,npr.org,"",optimizelyEndUserId,oeu1576197348866r0.1642338861115853,.npr.org,/,1591749348,1576197348877000,1576197348877000,0,0,0,0,0
28,youtube.com,"",VISITOR_INFO1_LIVE,Sp94iPgano4,.youtube.com,/,1591749348,1576197349114000,1576197349114000,1,1,0,0,0
29,youtube.com,"",GPS,1,.youtube.com,/,1576199148,1576197349114000,1576197349114002,0,0,0,0,0
30,doubleclick.net,"",IDE,AHWqTUmUBj8zJEkEY-YtEZrqIqJvPHKSv1otNiP9IWyAm2QV9c1ZbbjPGqNYWD1v,.doubleclick.net,/,1639269348,1576197349485000,1576197349485001,0,1,0,0,0
31,jwpsrv.com,"",JW_GCID,1fapwdb1to51,.jwpsrv.com,/g,1591965350,1576197350446000,1576197350446000,0,0,0,0,0
32,imrworldwide.com,"",IMRID,b6c675fc-48af-49eb-9fc2-dc04ac6be3b0,.imrworldwide.com,/,1609893349,1576197350673000,1576197350673000,0,0,0,0,0
